,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
83,Niagara County (North & East) PUMA,39642,19889,19753,37722,18527,19195,1920,1362,558,12114,4893,7221,11640,4671,6969,474,222,252,26156,14448,11708,24710,13308,11402,1446,1140,306,1372,548,824,1372,548,824,0,0,0
84,Monroe County (Central)--Rochester City (East) PUMA,21118,11620,9498,20656,11283,9373,462,337,125,14097,7216,6881,13842,7086,6756,255,130,125,6550,4279,2271,6343,4072,2271,207,207,0,471,125,346,471,125,346,0,0,0
85,Warren & Washington Counties PUMA,48145,24868,23277,46768,23919,22849,1377,949,428,14822,6533,8289,14565,6384,8181,257,149,108,31041,16598,14443,30080,15926,14154,961,672,289,2282,1737,545,2123,1609,514,159,128,31
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,26465,15111,11354,25876,14818,11058,589,293,296,17377,10419,6958,16849,10187,6662,528,232,296,8720,4438,4282,8659,4377,4282,61,61,0,368,254,114,368,254,114,0,0,0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,19626,9621,10005,19464,9621,9843,162,0,162,16749,7869,8880,16587,7869,8718,162,0,162,2605,1597,1008,2605,1597,1008,0,0,0,272,155,117,272,155,117,0,0,0
88,Onondaga County (Central)--Syracuse City PUMA,24858,14184,10674,23335,13135,10200,1523,1049,474,9418,4271,5147,9207,4271,4936,211,0,211,14061,8919,5142,12919,8040,4879,1142,879,263,1379,994,385,1209,824,385,170,170,0
89,Westchester County (Central)--White Plains City PUMA,35379,18441,16938,34082,17644,16438,1297,797,500,26815,13843,12972,25994,13400,12594,821,443,378,8564,4598,3966,8088,4244,3844,476,354,122,0,0,0,0,0,0,0,0,0
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,19347,10584,8763,18758,10192,8566,589,392,197,14315,7133,7182,13949,6897,7052,366,236,130,4256,2834,1422,4100,2678,1422,156,156,0,776,617,159,709,617,92,67,0,67
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",1370,647,723,995,272,723,375,375,0,815,447,368,440,72,368,375,375,0,555,200,355,555,200,355,0,0,0,0,0,0,0,0,0,0,0,0
92,Cattaraugus & Allegany Counties PUMA,41508,21999,19509,39690,21099,18591,1818,900,918,9258,4212,5046,9090,4177,4913,168,35,133,30052,16097,13955,28525,15330,13195,1527,767,760,2198,1690,508,2075,1592,483,123,98,25
