,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
72,Orange County (Southeast) PUMA,40126,22535,17591,39057,21892,17165,1069,643,426,17017,8673,8344,16911,8624,8287,106,49,57,21341,12474,8867,20378,11880,8498,963,594,369,1768,1388,380,1768,1388,380,0,0,0
73,Westchester County (Southeast) PUMA,27888,15548,12340,26319,14545,11774,1569,1003,566,19987,10445,9542,19210,10234,8976,777,211,566,6999,4201,2798,6606,3808,2798,393,393,0,902,902,0,503,503,0,399,399,0
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,48113,25828,22285,45778,24277,21501,2335,1551,784,33482,17161,16321,32518,16519,15999,964,642,322,13316,7973,5343,12175,7223,4952,1141,750,391,1315,694,621,1085,535,550,230,159,71
75,Livingston & Wyoming Counties PUMA,38258,19624,18634,36700,18732,17968,1558,892,666,8377,3377,5000,8226,3320,4906,151,57,94,27162,14861,12301,25791,14062,11729,1371,799,572,2719,1386,1333,2683,1350,1333,36,36,0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,46984,23762,23222,44656,22147,22509,2328,1615,713,15114,6173,8941,14959,6081,8878,155,92,63,31078,17278,13800,28905,15755,13150,2173,1523,650,792,311,481,792,311,481,0,0,0
77,Westchester County (Southwest)--Yonkers City PUMA,42963,20950,22013,40521,19622,20899,2442,1328,1114,19843,8241,11602,18965,7844,11121,878,397,481,20736,11348,9388,19430,10570,8860,1306,778,528,2384,1361,1023,2126,1208,918,258,153,105
78,Erie County (North Central) PUMA,41388,20350,21038,40632,20149,20483,756,201,555,26278,13330,12948,25731,13129,12602,547,201,346,14860,6921,7939,14651,6921,7730,209,0,209,250,99,151,250,99,151,0,0,0
79,Saratoga County (South & Central) PUMA,44637,24307,20330,42983,23536,19447,1654,771,883,22411,11013,11398,22098,10947,11151,313,66,247,21214,12803,8411,20041,12266,7775,1173,537,636,1012,491,521,844,323,521,168,168,0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,44857,21396,23461,43258,20467,22791,1599,929,670,13839,5436,8403,13839,5436,8403,0,0,0,28495,14459,14036,27627,14061,13566,868,398,470,2523,1501,1022,1792,970,822,731,531,200
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",56691,27532,29159,53676,25781,27895,3015,1751,1264,22164,10779,11385,21430,10201,11229,734,578,156,33451,15872,17579,31238,14767,16471,2213,1105,1108,1076,881,195,1008,813,195,68,68,0
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,44613,23503,21110,42895,22300,20595,1718,1203,515,11951,5333,6618,11805,5230,6575,146,103,43,29786,16186,13600,28687,15559,13128,1099,627,472,2876,1984,892,2403,1511,892,473,473,0
83,Niagara County (North & East) PUMA,42974,22677,20297,41007,21291,19716,1967,1386,581,12496,5608,6888,12496,5608,6888,0,0,0,27946,15638,12308,26239,14400,11839,1707,1238,469,2532,1431,1101,2272,1283,989,260,148,112
84,Monroe County (Central)--Rochester City (East) PUMA,34839,17840,16999,31224,16151,15073,3615,1689,1926,11667,5745,5922,11216,5489,5727,451,256,195,19520,9724,9796,17486,8771,8715,2034,953,1081,3652,2371,1281,2522,1891,631,1130,480,650
85,Warren & Washington Counties PUMA,48624,25766,22858,46667,24764,21903,1957,1002,955,13363,4620,8743,13234,4573,8661,129,47,82,32744,19243,13501,31189,18561,12628,1555,682,873,2517,1903,614,2244,1630,614,273,273,0
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,31860,15939,15921,29635,14983,14652,2225,956,1269,18833,8995,9838,17407,8462,8945,1426,533,893,12734,6780,5954,11935,6357,5578,799,423,376,293,164,129,293,164,129,0,0,0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,37813,18532,19281,35989,17309,18680,1824,1223,601,21681,10150,11531,21236,9755,11481,445,395,50,14069,7184,6885,12770,6436,6334,1299,748,551,2063,1198,865,1983,1118,865,80,80,0
88,Onondaga County (Central)--Syracuse City PUMA,39659,19974,19685,37411,18607,18804,2248,1367,881,14814,7182,7632,14709,7077,7632,105,105,0,20330,10941,9389,18794,10064,8730,1536,877,659,4515,1851,2664,3908,1466,2442,607,385,222
89,Westchester County (Central)--White Plains City PUMA,52624,26735,25889,50582,26080,24502,2042,655,1387,36946,17631,19315,35810,17326,18484,1136,305,831,15165,8696,6469,14259,8346,5913,906,350,556,513,408,105,513,408,105,0,0,0
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,42855,21758,21097,37837,19442,18395,5018,2316,2702,15733,7590,8143,15136,7293,7843,597,297,300,23841,12549,11292,20257,10733,9524,3584,1816,1768,3281,1619,1662,2444,1416,1028,837,203,634
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",22215,9579,12636,19503,8307,11196,2712,1272,1440,3909,1393,2516,3909,1393,2516,0,0,0,14048,6679,7369,12812,6097,6715,1236,582,654,4258,1507,2751,2782,817,1965,1476,690,786
92,Cattaraugus & Allegany Counties PUMA,43617,23141,20476,40746,21128,19618,2871,2013,858,9118,4135,4983,8890,3992,4898,228,143,85,31536,16815,14721,29296,15348,13948,2240,1467,773,2963,2191,772,2560,1788,772,403,403,0
93,Oswego County PUMA,43967,22425,21542,40576,20080,20496,3391,2345,1046,8027,3985,4042,7721,3702,4019,306,283,23,31579,15993,15586,29640,14682,14958,1939,1311,628,4361,2447,1914,3215,1696,1519,1146,751,395
