,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",15869,7238,8631,13343,6487,6856,2526,751,1775,4336,1351,2985,3807,1232,2575,529,119,410,8717,4113,4604,7211,3577,3634,1506,536,970,2816,1774,1042,2325,1678,647,491,96,395
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",26072,12519,13553,21934,11375,10559,4138,1144,2994,14783,7120,7663,13068,6728,6340,1715,392,1323,9959,4749,5210,7872,3997,3875,2087,752,1335,1330,650,680,994,650,344,336,0,336
70,Erie County (Northeast) PUMA,48077,24798,23279,40305,21888,18417,7772,2910,4862,21943,10085,11858,19541,9414,10127,2402,671,1731,25014,13712,11302,19644,11473,8171,5370,2239,3131,1120,1001,119,1120,1001,119,0,0,0
71,NYC-Manhattan Community District 11--East Harlem PUMA,30538,13756,16782,24249,11595,12654,6289,2161,4128,15481,6625,8856,14094,6270,7824,1387,355,1032,12931,5755,7176,9553,4818,4735,3378,937,2441,2126,1376,750,602,507,95,1524,869,655
72,Orange County (Southeast) PUMA,40164,22568,17596,33200,20608,12592,6964,1960,5004,17070,8747,8323,14952,8416,6536,2118,331,1787,21326,12433,8893,17292,11236,6056,4034,1197,2837,1768,1388,380,956,956,0,812,432,380
73,Westchester County (Southeast) PUMA,28182,14975,13207,23707,13766,9941,4475,1209,3266,19935,10314,9621,17931,9624,8307,2004,690,1314,7744,4158,3586,5273,3639,1634,2471,519,1952,503,503,0,503,503,0,0,0,0
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,47834,25099,22735,41723,22930,18793,6111,2169,3942,33714,17057,16657,30339,15895,14444,3375,1162,2213,12853,7507,5346,10621,6500,4121,2232,1007,1225,1267,535,732,763,535,228,504,0,504
75,Livingston & Wyoming Counties PUMA,38607,19638,18969,32441,17886,14555,6166,1752,4414,8797,3528,5269,7946,3125,4821,851,403,448,26967,14681,12286,22285,13354,8931,4682,1327,3355,2843,1429,1414,2210,1407,803,633,22,611
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,46210,22765,23445,37500,20922,16578,8710,1843,6867,15309,6173,9136,12767,5823,6944,2542,350,2192,30109,16281,13828,24186,14872,9314,5923,1409,4514,792,311,481,547,227,320,245,84,161
77,Westchester County (Southwest)--Yonkers City PUMA,41892,20533,21359,36830,18853,17977,5062,1680,3382,19282,7991,11291,17622,7732,9890,1660,259,1401,20449,11334,9115,17346,9913,7433,3103,1421,1682,2161,1208,953,1862,1208,654,299,0,299
