,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
84,Orange County (Northwest) PUMA,43919,22918,21001,42337,22437,19900,1582,481,1101,11439,4934,6505,10978,4934,6044,461,0,461,30838,17231,13607,30098,16938,13160,740,293,447,1642,753,889,1261,565,696,381,188,193
85,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,25329,12910,12419,23833,11774,12059,1496,1136,360,16085,7052,9033,15435,6687,8748,650,365,285,8109,5201,2908,7349,4516,2833,760,685,75,1135,657,478,1049,571,478,86,86,0
86,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,31450,16728,14722,30441,15767,14674,1009,961,48,21065,11272,9793,20056,10311,9745,1009,961,48,9539,5032,4507,9539,5032,4507,0,0,0,846,424,422,846,424,422,0,0,0
87,Dutchess County (North & East) PUMA,43485,22863,20622,42544,22382,20162,941,481,460,21333,10011,11322,21113,9855,11258,220,156,64,20670,11986,8684,20103,11661,8442,567,325,242,1482,866,616,1328,866,462,154,0,154
88,Putnam County PUMA,36838,19290,17548,35458,18818,16640,1380,472,908,16130,8190,7940,15799,8075,7724,331,115,216,19590,10697,8893,18663,10462,8201,927,235,692,1118,403,715,996,281,715,122,122,0
89,Albany County (Outside Albany City) PUMA,69720,34422,35298,68451,33547,34904,1269,875,394,32948,13772,19176,32611,13634,18977,337,138,199,34648,18865,15783,33812,18186,15626,836,679,157,2124,1785,339,2028,1727,301,96,58,38
90,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",36046,18289,17757,32414,15672,16742,3632,2617,1015,12494,4642,7852,11986,4248,7738,508,394,114,22220,12529,9691,19586,10796,8790,2634,1733,901,1332,1118,214,842,628,214,490,490,0
91,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,15156,8389,6767,14792,8223,6569,364,166,198,5359,2240,3119,5114,2193,2921,245,47,198,8807,5568,3239,8764,5525,3239,43,43,0,990,581,409,914,505,409,76,76,0
92,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",24065,13748,10317,23188,13496,9692,877,252,625,9103,4502,4601,8838,4440,4398,265,62,203,13583,8121,5462,12971,7931,5040,612,190,422,1379,1125,254,1379,1125,254,0,0,0
93,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,43216,21793,21423,42654,21512,21142,562,281,281,22286,10448,11838,22078,10448,11630,208,0,208,19717,10756,8961,19436,10548,8888,281,208,73,1213,589,624,1140,516,624,73,73,0
