,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
41,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",7876,5441,2435,51451.95022854241,57280,38427,3903,2620,1283,66456.62311042787,75284,48428,2737,1629,1108,32020.189989039092,35600,26756,1236,1192,44,47100.40453074434,47336,40700
42,Erie County (West Central)--Buffalo City (East) PUMA,671,468,203,24742.32488822653,23597,27382,126,53,73,53042.06349206349,75000,37100,417,369,48,15108.872901678656,13171,30000,128,46,82,28268.75,48000,17200
43,Suffolk County (Northwest)--Smithtown Town PUMA,1804,707,1097,95649.17960088691,123166,77914,714,461,253,117438.54341736695,139550,77146,1090,246,844,81376.14678899082,92463,78144,0,0,0,#DIV/0!,0,0
44,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,7872,4472,3400,104048.22281504064,133450,65375,4334,2153,2181,139048.50253807107,196030,82798,1772,936,836,56295.59819413092,68510,42619,1766,1383,383,66067.72366930917,79979,15831
45,NYC-Manhattan Community District 8--Upper East Side PUMA,16438,8675,7763,137964.4705560287,176297,95127,15708,8238,7470,142095.05774127832,182990,96995,730,437,293,49083.28767123288,50139,47508,0,0,0,#DIV/0!,0,0
46,Suffolk County (Southwest)--Islip Town (South) PUMA,3701,2375,1326,54904.6473925966,63077,40266,1152,890,262,82662.32638888889,90452,56198,1504,840,664,40462.16755319149,44827,34939,1045,645,400,45090.90909090909,49071,38673
47,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",6174,3432,2742,102036.24392614189,115008,85799,5078,2605,2473,115003.2237101221,138721,90018,939,670,269,45795.95314164004,45310,47005,157,157,0,19000.0,19000,0
48,Erie County (South) PUMA,910,671,239,40468.51648351648,43652,31530,461,222,239,42633.47071583514,54586,31530,449,449,0,38245.701559020046,38245,0,0,0,0,#DIV/0!,0,0
49,Albany County (Outside Albany City) PUMA,4712,3671,1041,81721.30730050933,89463,54419,3784,3008,776,91513.18710359409,98624,63946,802,537,265,42861.47132169576,50924,26521,126,126,0,35000.0,35000,0
50,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,12875,7788,5087,53119.23883495146,58177,45375,5557,3143,2414,64514.990102573334,71753,55090,6220,4102,2118,47008.102893890675,50556,40135,1098,543,555,30063.75227686703,37160,23120
51,Erie County (North Central) PUMA,3021,1453,1568,97329.91194968553,107888,87545,2580,1315,1265,110465.37364341086,115140,105605,244,138,106,29754.09836065574,38782,18000,197,0,197,9000.0,0,9000
52,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",11966,7461,4505,71642.34999164299,74336,67181,6091,3449,2642,81194.12247578394,86880,73770,5530,3734,1796,62698.05786618445,64018,59953,345,278,67,46373.04347826087,57284,1100
53,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",20639,10235,10404,33661.459712195356,35751,31605,5344,2177,3167,41118.17739520958,37119,43866,11875,5921,5954,32312.755115789474,39944,24723,3420,2137,1283,26692.795321637426,22741,33274
54,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,12122,5687,6435,142956.87840290382,194208,97662,9039,4459,4580,169623.75926540548,227956,112832,2968,1113,1855,65073.82749326146,73185,60207,115,115,0,57000.0,57000,0
55,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",21687,12419,9268,56565.95333609997,61026,50589,7514,2866,4648,67518.57599148256,72721,64310,12226,8176,4050,52070.157860297724,59696,36674,1947,1377,570,42527.73497688752,44580,37567
56,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",20068,10351,9717,65633.67649990034,74074,56642,12264,5751,6513,80051.19699934768,97428,64706,6837,3840,2997,43230.69182389937,45336,40532,967,760,207,41179.4208893485,42550,36146
57,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",13650,8185,5465,37945.1978021978,37118,39182,5031,2979,2052,48158.757702246075,42715,56061,6029,3750,2279,35031.54752031846,35862,33665,2590,1456,1134,24888.04633204633,28905,19729
58,Suffolk County (North Central)--Brookhaven Town (North) PUMA,2627,1774,853,136512.66844309098,147627,113396,2237,1499,738,141059.80330800178,148281,126392,390,275,115,110430.76923076923,144065,30000,0,0,0,#DIV/0!,0,0
59,Albany County (East Central)--Albany City PUMA,749,297,452,73041.92256341789,33242,99193,315,178,137,54171.42857142857,44943,66160,365,50,315,99921.64383561644,14000,113560,69,69,0,17000.0,17000,0
60,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,7467,3820,3647,110055.49658497388,101969,118524,4988,2455,2533,144048.61046511628,135086,152734,1960,986,974,43544.063265306126,46351,40701,519,379,140,34534.79768786127,32146,41000
61,Rensselaer County--Troy City PUMA,1819,1423,396,50030.775151181966,53000,39360,759,450,309,50764.03162055336,54851,44811,697,610,87,72546.62840746055,80040,20000,363,363,0,5264.683195592286,5264,0
62,Warren & Washington Counties PUMA,638,347,291,33762.69592476489,47586,17279,381,208,173,34169.02887139108,50112,15000,193,75,118,37524.35233160622,64120,20620,64,64,0,20000.0,20000,0
