,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
73,Orange County (Southeast) PUMA,1222,655,567,1137,655,482,85,0,85,511,351,160,426,351,75,85,0,85,534,191,343,534,191,343,0,0,0,177,113,64,177,113,64,0,0,0
74,Rockland County (North)--New City & Congers PUMA,561,301,260,561,301,260,0,0,0,365,105,260,365,105,260,0,0,0,196,196,0,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Westchester County (Southeast) PUMA,3563,2504,1059,3563,2504,1059,0,0,0,2860,2075,785,2860,2075,785,0,0,0,425,354,71,425,354,71,0,0,0,278,75,203,278,75,203,0,0,0
76,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1900,575,1325,1802,575,1227,98,0,98,1104,199,905,1006,199,807,98,0,98,796,376,420,796,376,420,0,0,0,0,0,0,0,0,0,0,0,0
77,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,1088,336,752,1088,336,752,0,0,0,575,178,397,575,178,397,0,0,0,498,143,355,498,143,355,0,0,0,15,15,0,15,15,0,0,0,0
78,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,4641,3255,1386,4471,3085,1386,170,170,0,3142,2080,1062,2972,1910,1062,170,170,0,1190,1122,68,1190,1122,68,0,0,0,309,53,256,309,53,256,0,0,0
79,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",4336,2130,2206,3731,2011,1720,605,119,486,1686,684,1002,1432,628,804,254,56,198,2426,1320,1106,2075,1257,818,351,63,288,224,126,98,224,126,98,0,0,0
80,Onondaga County (Central)--Syracuse City (Outer) PUMA,1226,864,362,1042,791,251,184,73,111,609,359,250,425,286,139,184,73,111,474,434,40,474,434,40,0,0,0,143,71,72,143,71,72,0,0,0
81,Wayne & Seneca Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",1036,716,320,753,433,320,283,283,0,283,283,0,0,0,0,283,283,0,588,268,320,588,268,320,0,0,0,165,165,0,165,165,0,0,0,0
83,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1748,977,771,1685,914,771,63,63,0,539,474,65,539,474,65,0,0,0,1209,503,706,1146,440,706,63,63,0,0,0,0,0,0,0,0,0,0
84,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,3681,1622,2059,3528,1569,1959,153,53,100,1589,628,961,1536,575,961,53,53,0,1791,994,797,1691,994,697,100,0,100,301,0,301,301,0,301,0,0,0
85,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",357,357,0,357,357,0,0,0,0,84,84,0,84,84,0,0,0,0,273,273,0,273,273,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Suffolk County (South Central)--Brookhaven Town (South) PUMA,1236,980,256,1092,875,217,144,105,39,255,180,75,216,180,36,39,0,39,865,684,181,760,579,181,105,105,0,116,116,0,116,116,0,0,0,0
87,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,1911,1051,860,1911,1051,860,0,0,0,880,267,613,880,267,613,0,0,0,1031,784,247,1031,784,247,0,0,0,0,0,0,0,0,0,0,0,0
88,Livingston & Wyoming Counties PUMA,450,316,134,450,316,134,0,0,0,20,20,0,20,20,0,0,0,0,430,296,134,430,296,134,0,0,0,0,0,0,0,0,0,0,0,0
89,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",2306,1295,1011,2306,1295,1011,0,0,0,685,159,526,685,159,526,0,0,0,1332,847,485,1332,847,485,0,0,0,289,289,0,289,289,0,0,0,0
90,Cattaraugus & Allegany Counties PUMA,26,0,26,26,0,26,0,0,0,26,0,26,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,302,179,123,302,179,123,0,0,0,161,161,0,161,161,0,0,0,0,141,18,123,141,18,123,0,0,0,0,0,0,0,0,0,0,0,0
92,Orange County (Northwest) PUMA,949,627,322,949,627,322,0,0,0,417,169,248,417,169,248,0,0,0,388,314,74,388,314,74,0,0,0,144,144,0,144,144,0,0,0,0
93,Columbia & Greene Counties PUMA,64,64,0,64,64,0,0,0,0,64,64,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Suffolk County (East) PUMA,2792,1183,1609,2646,1183,1463,146,0,146,749,377,372,749,377,372,0,0,0,1965,806,1159,1819,806,1013,146,0,146,78,0,78,78,0,78,0,0,0
95,Monroe County (East) PUMA,1722,743,979,1393,743,650,329,0,329,641,328,313,398,328,70,243,0,243,860,302,558,774,302,472,86,0,86,221,113,108,221,113,108,0,0,0
96,Sullivan & Ulster (West) Counties PUMA,1424,798,626,1424,798,626,0,0,0,749,273,476,749,273,476,0,0,0,605,525,80,605,525,80,0,0,0,70,0,70,70,0,70,0,0,0
97,Cayuga & Onondaga (South) Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,2206,934,1272,2147,934,1213,59,0,59,679,280,399,679,280,399,0,0,0,1077,370,707,1018,370,648,59,0,59,450,284,166,450,284,166,0,0,0
