,puma,Unemployment_HSINC_score,FT_Work_HSINC_score,Poverty_HSINC_score,Working_Poor_HSINC_score,Rent_Burden_HSINC_score,Home_Ownership_HSINC_score,Income_level_HSINC_score,Overall_HSINC_score,Unemployment_HSINC_grade,FT_Work_HSINC_grade,Poverty_HSINC_grade,Working_Poor_HSINC_grade,Rent_Burden_HSINC_grade,Home_Ownership_HSINC_grade,Income_level_HSINC_grade,Overall_HSINC_grade
31,Monroe County (North & West) PUMA,0.2568176272056589,0.8657690317581209,1.2467939566918054,0.82210829335088,1.0234500485379172,-1.3565581544099174,-0.18580425491140698,0.38179664974615113,B-,B,B,B,B,D-,C,B-
32,Schenectady County--Schenectady City PUMA,0.2568176272056589,0.8657690317581209,-0.3383079046484113,0.82210829335088,#DIV/0!,1.5764361187668852,-0.532536815050081,#DIV/0!,B-,B,C-,B,#DIV!0,A-,C-,#DIV!0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",0.2568176272056589,-0.43048638084332697,0.7186566650687702,0.03770261212705144,0.5394759525002712,-0.10943102529704839,-0.009655741263848825,0.1432971013567897,B-,C-,B-,C,B-,C,C,C
34,Niagara County (North & East) PUMA,0.2568176272056589,0.8657690317581209,1.2467939566918054,0.82210829335088,#DIV/0!,1.5764361187668852,-0.3742439273558642,#DIV/0!,B-,B,B,B,#DIV!0,A-,C-,#DIV!0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.2568176272056589,0.8657690317581209,1.2467939566918054,0.82210829335088,#DIV/0!,1.5764361187668852,#DIV/0!,#DIV/0!,B-,B,B,B,#DIV!0,A-,#DIV!0,#DIV!0
36,Suffolk County (East) PUMA,-0.13093581652430802,0.43357740527749167,-0.5332579407792046,-0.9990363779105084,0.27171399667269097,-0.24880090876115205,0.5386013174011188,-0.09544833208912452,C,B-,C-,D,B-,C,B-,C
37,Warren & Washington Counties PUMA,-1.6128765641971943,0.8657690317581209,1.2467939566918054,0.82210829335088,#DIV/0!,1.5764361187668852,0.16100219270477237,#DIV/0!,D-,B,B,B,#DIV!0,A-,C,#DIV!0
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,0.2568176272056589,-0.8065782341983359,0.917049463283597,0.025875360219644965,-1.0562121922941885,0.9868646348006022,#DIV/0!,#DIV/0!,B-,D,B,C,D,B,#DIV!0,#DIV!0
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.2568176272056589,-0.5549091360067328,-0.6089051877529482,-0.4992788806069962,-1.1448933001902437,-0.6344758079679128,#DIV/0!,#DIV/0!,B-,C-,C-,C-,D,C-,#DIV!0,#DIV!0
40,Westchester County (Central)--White Plains City PUMA,0.2568176272056589,-0.38124834151516374,0.6295331184383373,0.82210829335088,-0.08175858173218321,-0.9401928070914715,-1.1885854563347111,-0.12618944966837906,B-,C-,B-,B,C,D,D,C
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",0.15958779594351152,-0.2819758443342904,-1.5239858749912754,-1.9070010548054277,-1.0805064827322433,-1.2887130911513793,-0.1763682857251966,-0.8712804053994716,C,C-,D-,E,D,D-,C,D
42,Erie County (North Central) PUMA,0.2568176272056589,0.8657690317581209,-1.6340906374294941,-2.0153378385208005,0.05484023773940223,-0.334454089514971,#DIV/0!,#DIV/0!,B-,B,D-,E,C,C-,#DIV!0,#DIV!0
43,Chautauqua County PUMA,0.2568176272056589,-2.062127278944179,-2.3024558632656356,-2.8695171238939365,1.0234500485379172,0.8226291793990155,-2.096684830335185,-1.032555463042335,B-,E,E,E,B,B,E,D
44,Dutchess County (Southwest) PUMA,0.2568176272056589,-0.49506929275071365,0.4049847045224123,0.2712636630290095,#DIV/0!,1.3085183726593888,0.31555565843949845,#DIV/0!,B-,C-,B-,B-,#DIV!0,A-,B-,#DIV!0
45,Westchester County (Southeast) PUMA,0.2568176272056589,-0.3936498828213026,0.9112019901593443,0.258407814701049,1.0234500485379172,-0.04078014799504159,-2.292226294536463,-0.039539834964119676,B-,C-,B,B-,B,C,E,C
46,Rockland County (North)--New City & Congers PUMA,0.2568176272056589,0.5292193659804926,1.2467939566918054,0.82210829335088,#DIV/0!,1.5764361187668852,0.4663517886480063,#DIV/0!,B-,B-,B,B,#DIV!0,A-,B-,#DIV!0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.2568176272056589,-1.2256456952326626,0.11246084840389946,0.18709185444098847,-1.538125337295842,0.7864436914187614,-0.6621704604416697,-0.297589638785838,B-,D,C,C,D-,B,C-,C-
48,Suffolk County (Southwest)--Islip Town (South) PUMA,0.2568176272056589,-0.2882026797975024,-1.2631116792282544,-2.8695171238939365,#DIV/0!,1.5764361187668852,#DIV/0!,#DIV/0!,B-,C-,D-,E,#DIV!0,A-,#DIV!0,#DIV!0
