,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
73,Westchester County (Southeast) PUMA,8119,5717,2402,7067,5051,2016,1052,666,386,2221,943,1278,2058,943,1115,163,0,163,2626,1830,796,2030,1234,796,596,596,0,3272,2944,328,2979,2874,105,293,70,223
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,8344,4982,3362,7005,4679,2326,1339,303,1036,2677,1473,1204,2238,1339,899,439,134,305,3765,2161,1604,3337,1992,1345,428,169,259,1902,1348,554,1430,1348,82,472,0,472
75,Livingston & Wyoming Counties PUMA,234,188,46,234,188,46,0,0,0,0,0,0,0,0,0,0,0,0,67,31,36,67,31,36,0,0,0,167,157,10,167,157,10,0,0,0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,2432,1326,1106,1875,1249,626,557,77,480,68,0,68,68,0,68,0,0,0,1702,935,767,1222,935,287,480,0,480,662,391,271,585,314,271,77,77,0
77,Westchester County (Southwest)--Yonkers City PUMA,11936,7381,4555,10345,6813,3532,1591,568,1023,1520,469,1051,1520,469,1051,0,0,0,7930,5241,2689,6954,4863,2091,976,378,598,2486,1671,815,1871,1481,390,615,190,425
78,Erie County (North Central) PUMA,506,81,425,506,81,425,0,0,0,385,81,304,385,81,304,0,0,0,121,0,121,121,0,121,0,0,0,0,0,0,0,0,0,0,0,0
79,Saratoga County (South & Central) PUMA,88,0,88,88,0,88,0,0,0,88,0,88,88,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,4018,2732,1286,3656,2674,982,362,58,304,380,89,291,380,89,291,0,0,0,2314,1683,631,1952,1625,327,362,58,304,1324,960,364,1324,960,364,0,0,0
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",303,303,0,175,175,0,128,128,0,86,86,0,86,86,0,0,0,0,217,217,0,89,89,0,128,128,0,0,0,0,0,0,0,0,0,0
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,107,107,0,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,107,0,107,107,0,0,0,0
83,Niagara County (North & East) PUMA,71,71,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,71,71,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Monroe County (Central)--Rochester City (East) PUMA,951,430,521,840,380,460,111,50,61,0,0,0,0,0,0,0,0,0,673,430,243,562,380,182,111,50,61,278,0,278,278,0,278,0,0,0
85,Warren & Washington Counties PUMA,55,0,55,55,0,55,0,0,0,55,0,55,55,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
