,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",1215,889,326,945,889,56,270,0,270,98,98,0,98,98,0,0,0,0,1008,714,294,770,714,56,238,0,238,109,77,32,77,77,0,32,0,32
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",487,177,310,430,177,253,57,0,57,487,177,310,430,177,253,57,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Chautauqua County PUMA,179,179,0,179,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,179,0,179,179,0,0,0,0
103,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,1500,715,785,1445,715,730,55,0,55,785,0,785,730,0,730,55,0,55,715,715,0,715,715,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Erie County (West Central)--Buffalo City (East) PUMA,406,224,182,224,224,0,182,0,182,0,0,0,0,0,0,0,0,0,406,224,182,224,224,0,182,0,182,0,0,0,0,0,0,0,0,0
105,Genesee & Orleans Counties PUMA,305,305,0,305,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,305,0,305,305,0,0,0,0
106,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",668,259,409,440,259,181,228,0,228,134,0,134,134,0,134,0,0,0,487,259,228,259,259,0,228,0,228,47,0,47,47,0,47,0,0,0
107,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,1914,1416,498,1695,1197,498,219,219,0,134,70,64,134,70,64,0,0,0,659,520,139,659,520,139,0,0,0,1121,826,295,902,607,295,219,219,0
109,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",5833,2924,2909,4357,2133,2224,1476,791,685,340,202,138,340,202,138,0,0,0,4044,1479,2565,3188,1174,2014,856,305,551,1449,1243,206,829,757,72,620,486,134
