,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
95,Oswego County PUMA,714,302,412,458,302,156,256,0,256,0,0,0,0,0,0,0,0,0,513,219,294,375,219,156,138,0,138,201,83,118,83,83,0,118,0,118
96,Rensselaer County--Troy City PUMA,1593,624,969,1004,370,634,589,254,335,288,257,31,288,257,31,0,0,0,1136,349,787,565,113,452,571,236,335,169,18,151,151,0,151,18,18,0
97,Saratoga County (Outer) PUMA,723,723,0,723,723,0,0,0,0,560,560,0,560,560,0,0,0,0,163,163,0,163,163,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,153,153,0,153,153,0,0,0,0,0,0,0,0,0,0,0,0,0,153,153,0,153,153,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Monroe County (East) PUMA,1151,420,731,1142,420,722,9,0,9,440,98,342,440,98,342,0,0,0,702,322,380,702,322,380,0,0,0,9,0,9,0,0,0,9,0,9
100,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",2216,1190,1026,2216,1190,1026,0,0,0,691,322,369,691,322,369,0,0,0,1463,806,657,1463,806,657,0,0,0,62,62,0,62,62,0,0,0,0
101,Erie County (South) PUMA,458,198,260,458,198,260,0,0,0,81,81,0,81,81,0,0,0,0,377,117,260,377,117,260,0,0,0,0,0,0,0,0,0,0,0,0
102,Monroe County (Central)--Greece & Gates Towns PUMA,1070,509,561,750,411,339,320,98,222,95,0,95,95,0,95,0,0,0,794,509,285,474,411,63,320,98,222,181,0,181,181,0,181,0,0,0
103,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2287,1519,768,1362,1362,0,925,157,768,166,166,0,166,166,0,0,0,0,1693,925,768,768,768,0,925,157,768,428,428,0,428,428,0,0,0,0
104,NYC-Manhattan Community District 11--East Harlem PUMA,12042,6372,5670,6946,3019,3927,5096,3353,1743,2298,404,1894,2298,404,1894,0,0,0,7084,3390,3694,3474,1441,2033,3610,1949,1661,2660,2578,82,1174,1174,0,1486,1404,82
105,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",1780,910,870,1633,817,816,147,93,54,727,111,616,727,111,616,0,0,0,601,401,200,601,401,200,0,0,0,452,398,54,305,305,0,147,93,54
106,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,3551,1369,2182,2704,1258,1446,847,111,736,1270,707,563,1270,707,563,0,0,0,1819,551,1268,1218,551,667,601,0,601,462,111,351,216,0,216,246,111,135
107,Onondaga County (North) PUMA,281,281,0,24,24,0,257,257,0,0,0,0,0,0,0,0,0,0,24,24,0,24,24,0,0,0,0,257,257,0,0,0,0,257,257,0
108,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,2401,1739,662,1256,668,588,1145,1071,74,363,0,363,363,0,363,0,0,0,1229,930,299,758,533,225,471,397,74,809,809,0,135,135,0,674,674,0
109,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",1118,851,267,1108,841,267,10,10,0,591,324,267,581,314,267,10,10,0,527,527,0,527,527,0,0,0,0,0,0,0,0,0,0,0,0,0
110,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,3124,1199,1925,1432,837,595,1692,362,1330,803,508,295,803,508,295,0,0,0,871,376,495,629,329,300,242,47,195,1450,315,1135,0,0,0,1450,315,1135
111,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",7800,4156,3644,6243,3807,2436,1557,349,1208,1750,148,1602,1750,148,1602,0,0,0,4167,2600,1567,3252,2514,738,915,86,829,1883,1408,475,1241,1145,96,642,263,379
