,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
87,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",12229,6840,5389,10787,6543,4244,1442,297,1145,4715,2356,2359,4093,2122,1971,622,234,388,6514,3800,2714,5742,3737,2005,772,63,709,1000,684,316,952,684,268,48,0,48
88,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,1225,978,247,1148,901,247,77,77,0,1077,830,247,1077,830,247,0,0,0,148,148,0,71,71,0,77,77,0,0,0,0,0,0,0,0,0,0
89,Nassau County (West Central)--Hempstead Town (West Central) PUMA,1229,596,633,938,305,633,291,291,0,741,405,336,547,211,336,194,194,0,488,191,297,391,94,297,97,97,0,0,0,0,0,0,0,0,0,0
90,Suffolk County (South Central)--Brookhaven Town (South) PUMA,763,245,518,701,245,456,62,0,62,442,167,275,442,167,275,0,0,0,321,78,243,259,78,181,62,0,62,0,0,0,0,0,0,0,0,0
91,Orange County (Northeast)--Greater Newburgh City PUMA,591,518,73,453,380,73,138,138,0,86,86,0,86,86,0,0,0,0,428,355,73,290,217,73,138,138,0,77,77,0,77,77,0,0,0,0
92,Sullivan & Ulster (West) Counties PUMA,1521,402,1119,1447,328,1119,74,74,0,1205,180,1025,1131,106,1025,74,74,0,294,200,94,294,200,94,0,0,0,22,22,0,22,22,0,0,0,0
93,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",3767,2755,1012,3555,2684,871,212,71,141,2381,1578,803,2240,1578,662,141,0,141,1141,932,209,1070,861,209,71,71,0,245,245,0,245,245,0,0,0,0
94,Wayne & Seneca Counties PUMA,1134,784,350,1134,784,350,0,0,0,264,172,92,264,172,92,0,0,0,753,495,258,753,495,258,0,0,0,117,117,0,117,117,0,0,0,0
95,Albany County (East Central)--Albany City PUMA,842,519,323,448,199,249,394,320,74,432,109,323,358,109,249,74,0,74,410,410,0,90,90,0,320,320,0,0,0,0,0,0,0,0,0,0
96,Nassau County (Northwest)--North Hempstead Town (North) PUMA,4290,2425,1865,3612,2237,1375,678,188,490,3130,1536,1594,2689,1348,1341,441,188,253,1011,740,271,774,740,34,237,0,237,149,149,0,149,149,0,0,0,0
