,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
111,Nassau County (West Central)--North Hempstead Town (South) PUMA,17300,9663,7637,89125.0460115607,108957,64031,9499,5566,3933,112413.8025055269,137731,76583,7613,3996,3617,60941.322212005776,70191,50722,188,101,87,53714.36170212766,57000,49900
112,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",12021,6852,5169,72010.9957574245,76875,65563,6416,3488,2928,89757.73690773068,102931,74064,5605,3364,2241,51696.43889384478,49858,54455,0,0,0,#DIV/0!,0,0
113,Jefferson & Lewis Counties PUMA,41684,25542,16142,50599.114576336244,57567,39572,10740,6681,4059,81746.541433892,95787,58635,28422,16942,11480,40572.78119062698,45066,33940,2522,1919,603,30950.059476605868,34867,18482
114,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,27718,16001,11717,74159.30052673352,85982,58013,10905,5480,5425,83553.75809261807,102066,64852,16376,10231,6145,68298.83732291158,78061,52044,437,290,147,59340.96109839817,61489,55102
115,Suffolk County (Northwest)--Huntington Town (South) PUMA,22800,14499,8301,111902.17057017544,131906,76961,14045,8932,5113,135543.1090779637,162667,88158,8489,5374,3115,75354.75580162564,84439,59681,266,193,73,30000.0,30000,30000
116,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,562,269,293,28616.97508896797,32277,25256,141,141,0,28449.64539007092,28449,0,339,128,211,24481.828908554573,36494,17194,82,0,82,46000.0,0,46000
117,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",18231,10240,7991,73690.20788766387,83526,61085,8527,3897,4630,91444.52210625073,118683,68517,9405,6044,3361,59100.58904837852,63690,50847,299,299,0,26279.933110367892,26279,0
118,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,30309,16803,13506,57186.76703289452,64991,47476,10862,4758,6104,77381.06260357209,106384,54773,18657,11454,7203,45991.53561665863,48330,42272,790,591,199,43919.670886075946,54652,12045
119,Monroe County (Central)--Greece & Gates Towns PUMA,37383,21101,16282,51266.27129978868,57072,43742,12446,6307,6139,61692.70287642616,69368,53806,23768,13742,10026,46494.78458431504,52865,37763,1169,1052,117,37272.54063301968,38303,28000
120,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,3747,2198,1549,64024.92714171337,72315,52261,2414,1272,1142,71827.00994200497,84597,57603,1237,926,311,52215.84478577203,55443,42604,96,0,96,20000.0,0,20000
121,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",9200,5469,3731,87928.98695652174,104571,63533,5222,3140,2082,115490.23362696284,137979,81572,3206,1981,1225,58552.42669993762,65947,46593,772,348,424,23494.300518134714,23000,23900
122,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,17927,10242,7685,84222.2300440676,88487,78537,10582,5373,5209,101122.11661311661,113767,88078,7199,4766,2433,60509.73468537297,61432,58702,146,103,43,28548.630136986303,21680,45000
123,Broome (Outer West) & Tioga Counties PUMA,36067,20983,15084,58958.66747996784,65251,50205,12139,6772,5367,93110.86415684983,107478,74981,22032,12691,9341,42187.85993100944,45908,37133,1896,1520,376,35182.77953586498,38619,21288
