,puma,Unemployment_BABS_F,Unemployment_HS_F,FT_Work_BABS_F,FT_Work_HS_F,Poverty_BABS_F,Poverty_HS_F,Working_Poor_BABS_F,Working_Poor_HS_F,Income_level_BABS_F,Income_level_HS_F,Rent_Burden_BABS_F,Rent_Burden_HS_F,Home_Ownership_BABS_F,Home_Ownership_HS_F
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",1.6493500940653327,10.779045955863245,1.0703318240278743,0.9743180297381618,1.6214855246633935,0.8420789438044544,1.3306785444243452,inf,1.1494206802796227,0.6945826670274046,0.40736646413483213,0.830011939784099,0.9438530258121173,1.0176782557454331
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,1.8225432767966425,0.6997038240427897,1.1729415365779001,0.9739617148430226,2.66249118046133,0.6163992323060707,inf,0.737190579293242,1.5901306817729146,1.1531026990643731,2.641321044546851,0.862271453056931,0.36919545894570094,1.9764002732891621
14,Rockland County (North)--New City & Congers PUMA,1.9776231531971638,0.3609246733206704,1.093017362885713,1.235065746188805,0.0,1.346916084875351,#DIV/0!,1.4510084079793373,0.8673953902461871,1.058223414459085,0.0,0.2693480191392633,0.8186904178411888,0.6499502290160256
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,0.0,1.1558849171752397,1.397498190840484,3.5437866828577214,0.5637763216489599,11.802736726874658,20.152083333333334,0.6617063030163554,0.6580673574698082,6.892238240862094,#DIV/0!,0.5781088495132991,1.2848119645709308
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,4.266305008879266,0.35601741884402216,1.0076308231208726,0.8968992191898784,6.29734380845492,0.9275609641276714,10.215983794526833,0.5443510425375592,0.6040980691736795,0.6660621288633084,7.926048916285543,0.716295360587965,0.5332219552136269,0.6437866052392972
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,2.397427436066663,5.213663297316138,1.0901199240434365,0.8840568199163766,2.816808699068433,1.5599044034450211,5.738604345939309,2.058577581217494,0.9151519144382857,0.9083502459820306,2.781119931179428,1.8251259157509159,0.9117004307136786,1.3645615082639515
18,Tompkins County PUMA,0.0,0.0,0.9119569297895225,0.8544531327028236,0.9635829083603771,0.0,0.0,0.0,0.8023129009382755,0.6858823127490072,0.0,3.211217183770883,0.5774138645077685,1.053525790126921
19,Dutchess County (Southwest) PUMA,1.8203407105416423,10.71049938386349,1.1429405184572734,1.1828220803432952,5.483800055588607,0.681731579826413,inf,2.4558673303049403,1.021804838645802,0.7184075096521257,14.317422969187675,0.2893349604992558,1.0279856647069545,0.804107807554394
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,3.9748212682739164,0.5690331849325881,1.026083402721794,0.9458498525798028,1.2927634554500227,0.9575244065474741,1.3413632045714354,1.9886959404152265,0.7289510304586798,1.0514699529468405,1.7851821351742194,1.1008846924198952,1.2365871140046247,1.166599797254049
21,Westchester County (Northwest) PUMA,6.014951789723946,0.0,1.1068831892084219,0.44663657961149883,0.0,2.0685099506057423,0.0,3.338369247501869,0.7506444027351002,0.7045344230201213,0.0,0.8953591649882366,0.5846805111728223,0.6663783708552818
