,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
89,Westchester County (Central)--White Plains City PUMA,19454,9088,10366,17239,7985,9254,2215,1103,1112,12377,5162,7215,11254,4793,6461,1123,369,754,4970,2229,2741,4774,2229,2545,196,0,196,2107,1697,410,1211,963,248,896,734,162
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,7933,2864,5069,5112,1901,3211,2821,963,1858,2966,594,2372,2151,364,1787,815,230,585,3837,1613,2224,2411,1141,1270,1426,472,954,1130,657,473,550,396,154,580,261,319
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",14227,7617,6610,8214,4832,3382,6013,2785,3228,4144,1837,2307,2503,1038,1465,1641,799,842,6927,3840,3087,3918,2609,1309,3009,1231,1778,3156,1940,1216,1793,1185,608,1363,755,608
92,Cattaraugus & Allegany Counties PUMA,926,457,469,499,328,171,427,129,298,501,217,284,374,217,157,127,0,127,319,161,158,125,111,14,194,50,144,106,79,27,0,0,0,106,79,27
93,Oswego County PUMA,442,164,278,238,84,154,204,80,124,197,127,70,64,47,17,133,80,53,245,37,208,174,37,137,71,0,71,0,0,0,0,0,0,0,0,0
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",33709,16428,17281,26109,12430,13679,7600,3998,3602,10882,3882,7000,8972,3279,5693,1910,603,1307,18631,9548,9083,14590,7511,7079,4041,2037,2004,4196,2998,1198,2547,1640,907,1649,1358,291
95,Monroe County (East) PUMA,4166,1854,2312,3245,1258,1987,921,596,325,2316,1001,1315,2265,950,1315,51,51,0,1306,420,886,869,308,561,437,112,325,544,433,111,111,0,111,433,433,0
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,16236,7925,8311,14187,6411,7776,2049,1514,535,8002,3310,4692,7823,3131,4692,179,179,0,6188,3114,3074,4943,2194,2749,1245,920,325,2046,1501,545,1421,1086,335,625,415,210
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",9215,4792,4423,6978,3764,3214,2237,1028,1209,3728,1461,2267,3467,1324,2143,261,137,124,2116,1637,479,1627,1262,365,489,375,114,3371,1694,1677,1884,1178,706,1487,516,971
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",17621,9609,8012,12280,6469,5811,5341,3140,2201,6533,2910,3623,5176,2239,2937,1357,671,686,7426,3838,3588,4963,2665,2298,2463,1173,1290,3662,2861,801,2141,1565,576,1521,1296,225
